filename,width,height,class,xmin,ymin,xmax,ymax
plum001S(2).JPG,816,612,plum,495,185,677,352
doughnut007S(9).JPG,816,612,doughnut,415,258,665,355
qiwi006T(2).JPG,816,612,qiwi,337,302,496,477
egg006S(7).JPG,816,612,egg,505,258,630,375
pear006T(6).JPG,504,378,pear,122,77,277,204
apple019T(3).JPG,504,378,apple,141,75,269,202
apple009T(3).JPG,816,612,apple,180,250,446,488
fired_dough_twist001T(5).JPG,816,612,fired_dough_twist,482,193,592,460
mango009S(3).JPG,816,612,mango,499,331,692,458
fired_dough_twist007S(2).JPG,504,378,fired_dough_twist,275,173,471,242
lemon002T(9).JPG,816,612,lemon,429,219,597,407
mango005T(11).JPG,816,612,mango,435,276,552,462
orange009T(10).JPG,816,612,orange,313,124,517,344
peach004S(8).JPG,816,612,peach,491,229,634,358
orange008T(10).JPG,816,612,orange,386,304,613,517
tomato003S(17).JPG,816,612,tomato,452,251,632,383
pear004S(13).JPG,816,612,pear,458,195,647,382
mix008T(3).JPG,816,612,banana,222,95,627,272
mix008T(3).JPG,816,612,tomato,354,333,531,511
banana010S(3).JPG,816,612,banana,162,287,567,378
apple018S(10).JPG,816,612,apple,444,176,646,365
orange009S(14).JPG,816,612,orange,179,173,416,340
egg007T(4).JPG,816,612,egg,416,259,541,431
tomato002T(13).JPG,816,612,tomato,378,230,584,426
qiwi007S(1).JPG,612,612,qiwi,570,373,633,438
tomato003T(13).JPG,816,612,tomato,385,295,608,504
orange008S(14).JPG,816,612,orange,458,227,661,390
tomato001S(9).JPG,816,612,tomato,481,237,681,380
mango003S(9).JPG,816,612,mango,473,221,757,393
orange011T(9).JPG,816,612,orange,428,194,676,418
sachima001S(11).JPG,816,612,sachima,443,325,660,434
egg001S(3).JPG,816,612,egg,444,298,546,396
pear001T(2).JPG,816,612,pear,383,209,613,440
sachima003T(8).JPG,816,612,sachima,409,270,615,445
fired_dough_twist006T(1).JPG,504,378,fired_dough_twist,199,127,262,261
grape002T(5).JPG,816,612,grape,371,142,631,452
egg002s(5).JPG,816,612,egg,439,226,583,342
mooncake001T(14).JPG,816,612,mooncake,457,235,591,369
apple016S(8).JPG,816,612,apple,403,120,618,330
tomato004T(8).JPG,816,612,tomato,472,210,711,433
grape001T(3).JPG,816,612,grape,210,109,578,511
doughnut008T(2).JPG,816,612,doughnut,384,245,653,536
fired_dough_twist005T(7).JPG,816,612,fired_dough_twist,454,195,573,467
banana015T(2).JPG,504,378,banana,178,58,304,293
grape001S(10).JPG,816,612,grape,286,75,782,373
lemon002S(25).JPG,816,612,lemon,465,278,621,404
banana005T(2).JPG,816,612,banana,184,78,451,539
pear002T(4).JPG,816,612,pear,408,252,594,437
orange009S(6).JPG,816,612,orange,457,166,647,343
bun008S(3).JPG,816,612,bun,446,192,642,316
peach001S(15).JPG,816,612,peach,477,240,629,381
pear004S(3).JPG,816,612,pear,440,168,637,362
banana013S(5).JPG,816,612,banana,274,257,654,346
plum004T(17).JPG,816,612,plum,420,239,604,432
plum003T(7).JPG,816,612,plum,369,225,539,392
